"","challengeID","gpa","household_income","relationship_f","relationship_m","explain_wrong_f","explain_wrong_m","treats_other_child_f","treats_other_child_m","verbal_abuse_o","verbal_abuse_mf","verbal_abuse_f","verbal_abuse_m","emotional_exp_o","closeness_m","closeness_f","time_lived_f","time_lived_m","miss_events_m","miss_events_f"
"1",1,2.87,59353.8506610018,3,2.88458498023715,1.75470008952551,2.29537366548043,1.70940170940171,1.73629782833506,1.96016205266712,2,0.961607142857143,1.42471590909091,1.69735951252539,1.37237026647966,1.6634446397188,2.56346483704974,1.21306068601583,1.52097130242826,1.74719101123595
"2",3,2.87,59353.8506610018,3,2.88458498023715,1.75470008952551,2.29537366548043,1.70940170940171,1.73629782833506,1.96016205266712,2,0.961607142857143,1.42471590909091,1.69735951252539,1.37237026647966,1.6634446397188,2.56346483704974,1.21306068601583,1.52097130242826,1.74719101123595
"3",6,2.87,215354.919420668,4,2,3,4,2,2,2,2,2,1,2,4,4,3,1,1,1
"4",7,2.5,137679.56101958,2,1,2,4,1.70940170940171,4,1,2,0,4,2,4,1,1,1,3,1.74719101123595
"5",8,2.87,104385.725413683,3,2.88458498023715,1.75470008952551,2.29537366548043,1.70940170940171,1.73629782833506,1.96016205266712,2,0.961607142857143,1.42471590909091,1.69735951252539,1.37237026647966,1.6634446397188,4,1.21306068601583,1.52097130242826,1.74719101123595
"6",9,2.25,114156.140647102,2,4,4,3,1.70940170940171,1.73629782833506,2,2,2,2,2,1,1,1,1,3,1.74719101123595
"7",10,3.25,142139.428271887,1,2,0,0,1.70940170940171,1.73629782833506,1,1,0,0,2,1,1,3,1,1,1
"8",13,2.75,87125.9931541981,2,3,2,1,1,1,2,2,2,1,1,1,1,3,1,1,1
"9",14,3.25,78616.6073850976,1,1,3,1,1.70940170940171,1,2,2,1,4,2,2,1,1,1,1,1.74719101123595
"10",16,2,54953.2802391201,2,4,4,3,1.70940170940171,2,2,2,2,3,2,1,1,4,1,1,1.74719101123595
"11",18,2.25,47794.5131724596,2,3,0,3,1,2,2,1,0,0,2,3,3,7,1,1,3
"12",20,2.87,121907.677931588,1,1,0,2,1.70940170940171,1,2,1,0,0,2,1,1,1,1,0,1.74719101123595
"13",23,2.5,45943.0778505127,3,5,3,2.29537366548043,1.70940170940171,1.73629782833506,2,2,1,1.42471590909091,2,1.37237026647966,1,1,7,1.52097130242826,1.74719101123595
"14",24,3.25,9306.62421347559,3,5,1,1,1.70940170940171,2,2,1.5,0,1,2,1,2,2.56346483704974,1,3,1.74719101123595
"15",28,2.87,23083.3093158255,3,2.88458498023715,1.75470008952551,2.29537366548043,1.70940170940171,1.73629782833506,1.96016205266712,2,0.961607142857143,1.42471590909091,1.69735951252539,1.37237026647966,1.6634446397188,4,1.21306068601583,1.52097130242826,1.74719101123595
"16",30,3,112440.638918477,5,5,1,2,1.70940170940171,2,2,2,0,2,1,1,2,7,1,1,0
"17",35,3,48647.3056408935,5,2.88458498023715,1.75470008952551,0,1.70940170940171,4,2,2,0,4,2,2,3,1,4,2,1.74719101123595
"18",36,2.87,59353.8506610018,3,2.88458498023715,1.75470008952551,2.29537366548043,1.70940170940171,1.73629782833506,1.96016205266712,2,0.961607142857143,1.42471590909091,1.69735951252539,1.37237026647966,1.6634446397188,2.56346483704974,1.21306068601583,1.52097130242826,1.74719101123595
"19",40,3,15483.7855638573,3,2.88458498023715,3,2.29537366548043,1.70940170940171,1.73629782833506,2,2,4,1.42471590909091,2,1.37237026647966,3,7,1.21306068601583,1.52097130242826,1.74719101123595
